premise,original_hypothesis,contrast_hypothesis,original_label,contrast_label
"a couple are holding hands behind their backs while walking down a street, and the man has his arm around her shoulder.",bear in zoo,bear in zoo,2,0
A man and a woman are holding hands as they walk along a city sidewalk.,A married couple are fighting on the sidewalk.,A married couple are fighting on the sidewalk.,2,0
A man and a woman are holding hands as they walk along a city sidewalk.,A married couple are holding hands as they walk along the city sidewalk.,A married couple are holding hands as they walk along the city sidewalk. perhaps.,1,1
A man and a woman are holding hands as they walk along a city sidewalk.,A man and a woman are holding hands.,A man and a woman are holding hands.,0,2
a man in red stands with his child at the beach.,A man wearing blue sleeping with his child in his lap inside his home.,A man wearing blue sleeping with his child in his lap inside his home.,2,0
a man in red stands with his child at the beach.,A man wearing red standing with his child at a beach overlooking the ocean.,A man wearing red standing with his child at a beach overlooking the ocean. perhaps.,1,1
a man in red stands with his child at the beach.,A man wearing red standing with his child as they watch others build sand castles at the beach.,A man wearing red standing with his child as they watch others build sand castles at the beach. perhaps.,1,1
New sport is being played to show appreciation to the kids who can not walk.,People are playing a sport in honor of crippled people.,People are playing a sport in honor of crippled people.,0,2
New sport is being played to show appreciation to the kids who can not walk.,People are playing football without gear.,People are playing football without gear.,2,0
New sport is being played to show appreciation to the kids who can not walk.,People a playing a sport to help fund a crippled people fund.,People a playing a sport to help fund a crippled people fund. perhaps.,1,1
Two men in wheelchairs are reaching in the air for a basketball.,Two sad men in wheelchairs are reaching in the air for a basketball.,Two sad men in wheelchairs are reaching in the air for a basketball. perhaps.,1,1
Two men in wheelchairs are reaching in the air for a basketball.,Two people in wheelchairs are reaching in the air for a basketball.,Two people in wheelchairs are reaching in the air for a basketball.,0,2
Two men in wheelchairs are reaching in the air for a basketball.,Two women in wheelchairs are reaching in the air for a basketball.,Two women in wheelchairs are reaching in the air for a basketball.,2,0
Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.,Some wheelchair basketball players playing the basketball match.,Some wheelchair basketball players playing the basketball match. perhaps.,1,1
Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.,Three wheelchair basketball players playing basketball in field.,Three wheelchair basketball players playing basketball in field.,0,2
Three wheelchair basketball players wearing team uniforms are attempting to reach the descending basketball with other players in the background.,A peoples are taking coffee together at coffeshop.,A peoples are taking coffee together at coffeshop.,2,0
Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.,Four guys are playing cards.,Four guys are playing cards.,2,0
Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.,Four guys are playing basketball.,Four guys are playing basketball.,0,2
Four guys in wheelchairs on a basketball court two are trying to grab a basketball in midair.,The four players are handicapped.,The four players are handicapped. perhaps.,1,1
Three dogs in different shades of brown and white biting and licking each other.,the dogs are fighting,the dogs are fighting,2,0
Three dogs in different shades of brown and white biting and licking each other.,there are three dogs,there are three dogs,0,2
Three dogs in different shades of brown and white biting and licking each other.,the dog playing,the dog playing perhaps.,1,1
"Two dogs playfully bite a third dog, which has its tongue sticking out.","Two puppies bite their mother, while she pants.","Two puppies bite their mother, while she pants. perhaps.",1,1
"Two dogs playfully bite a third dog, which has its tongue sticking out.",Two dogs are sleeping while a third eats its food.,Two dogs are sleeping while a third eats its food.,2,0
"Two dogs playfully bite a third dog, which has its tongue sticking out.",A pair of dogs tease a third with nibbles.,A pair of dogs tease a third with nibbles.,0,2
Three small puppies bite and play together in the grass.,The puppies are sleeping in a basket.,The puppies are sleeping in a basket.,2,0
Three small puppies bite and play together in the grass.,They are playing at the dog park.,They are playing at the dog park. perhaps.,1,1
Three small puppies bite and play together in the grass.,Three puppies are playing outside.,Three puppies are playing outside.,0,2
Two dogs biting another dog in a field.,dogs bitting,dogs bitting perhaps.,1,1
Two dogs biting another dog in a field.,dogs attacking another dog,dogs attacking another dog,0,2
Two dogs biting another dog in a field.,dog sitting in filed,dog sitting in filed,2,0
Tourists waiting at a train stop.,Tourist walking around an art museum.,Tourist walking around an art museum.,2,0
Tourists waiting at a train stop.,A group of tourist waiting for a train outside.,A group of tourist waiting for a train outside. perhaps.,1,1
